type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127
0,0.0613015778362751,0.01673494279384613,-0.07032189518213272,0.02568601444363594,0.03789861500263214,-0.019065191969275475,-0.10037310421466827,0.014047228731215,-0.017352990806102753,0.06118445470929146,-0.02765745297074318,0.05155572667717934,0.03941691294312477,-0.037111785262823105,-0.014393043704330921,0.03278006985783577,0.008692855015397072,-0.03606351464986801,-0.02757410518825054,0.037335868924856186,0.04432766139507294,0.03474405035376549,-0.011258458718657494,-0.01671549677848816,-0.06834526360034943,-0.0037484944332391024,0.014635292813181877,-0.016854360699653625,-0.02039710059762001,0.008481397293508053,0.026604950428009033,0.05578569322824478,0.0840439721941948,0.017783857882022858,0.08656881749629974,-0.015447933226823807,-0.011685260571539402,0.05213765799999237,0.06889240443706512,-0.027245119214057922,-0.013472015969455242,-0.03139111399650574,0.0009591626585461199,-0.01145936083048582,0.02813231758773327,-0.019457021728157997,0.09578974545001984,0.06905623525381088,-0.02479342557489872,-0.013882186263799667,0.021222056820988655,0.06640894711017609,0.04700188711285591,-0.006434333976358175,0.004535443149507046,-0.0003991661942563951,-0.04988310858607292,0.04826685041189194,0.019137628376483917,-0.029491715133190155,0.014389964751899242,0.026351122185587883,-0.029258092865347862,0.025479644536972046,0.01307972427457571,0.04745185747742653,0.057474151253700256,0.03174483776092529,0.025055812671780586,-0.056986354291439056,0.02092079073190689,-0.0027973714750260115,-0.047733936458826065,-0.03106946498155594,0.0039630769751966,0.02851162664592266,-0.06705594807863235,0.003980226349085569,0.05565616860985756,-0.027034705504775047,0.024721534922719002,0.0522892028093338,-0.007767129689455032,-0.007551426999270916,-0.07210259884595871,-0.055724188685417175,0.06091601401567459,-0.0020067966543138027,-0.06183456629514694,0.02275908552110195,0.04876140505075455,0.021149303764104843,-0.04513462632894516,0.009151755832135677,-0.04944596067070961,-0.021065611392259598,0.040706437081098557,0.019428446888923645,0.003997668158262968,0.028473399579524994,0.001795546617358923,0.02544928900897503,-0.024979567155241966,0.05848247557878494,-0.05684696510434151,0.006311884615570307,-0.03381575644016266,0.017345864325761795,-0.03714572265744209,0.009382136166095734,-0.010337002575397491,-0.05472181737422943,-0.000106716928712558,-0.043905146420001984,0.09175699204206467,0.0027760067023336887,0.005077469162642956,0.045266855508089066,-0.002348134759813547,0.06427088379859924,0.05666424334049225,0.1636291742324829,-0.037247832864522934,0.015450001694262028,-0.018352588638663292,0.050223395228385925,0.045479483902454376,0.02524973265826702
1,0.059457577764987946,0.0065159872174263,-0.0705733671784401,0.023786555975675583,0.026779616251587868,-0.01660376787185669,-0.10698219388723373,0.008039098232984543,-0.010964284650981426,0.05907133221626282,-0.01782413013279438,0.04594696685671806,0.02771746553480625,-0.039061304181814194,-0.004416384268552065,0.030664829537272453,0.0032632004003971815,-0.034945789724588394,-0.02204889804124832,0.03100796975195408,0.037215519696474075,0.033406950533390045,-0.01929451711475849,-0.018286986276507378,-0.06653031706809998,-0.004872665740549564,0.010693568736314774,-0.01939244009554386,-0.023615509271621704,0.008139672689139843,0.030803626403212547,0.058217842131853104,0.08132363110780716,0.014031975530087948,0.0770707055926323,-0.015209903009235859,-0.009640422649681568,0.05013477802276611,0.0717763602733612,-0.029825473204255104,-0.019699156284332275,-0.031249158084392548,-0.005215494427829981,-0.0011912888148799539,0.026937630027532578,-0.027120450511574745,0.1012188047170639,0.053018078207969666,-0.02430553548038006,-0.013678140938282013,0.02278759703040123,0.07016874849796295,0.04757799208164215,-0.01012107077986002,0.0005794242606498301,-0.0026170588098466396,-0.04604494571685791,0.05400250479578972,0.006692235358059406,-0.02979949302971363,0.019815314561128616,0.026070667430758476,-0.021320944651961327,0.020434893667697906,0.01824728399515152,0.042987607419490814,0.06197989732027054,0.04074268788099289,0.020655756816267967,-0.04608483240008354,0.018829455599188805,-0.006913101300597191,-0.04265680909156799,-0.034839827567338943,0.00266208010725677,0.03461625427007675,-0.06233757361769676,0.00565485330298543,0.05874287337064743,-0.03558232635259628,0.026680003851652145,0.040806904435157776,-0.00957208126783371,-0.015364831313490868,-0.08056272566318512,-0.04956148564815521,0.05587742105126381,-0.00454131281003356,-0.06395748257637024,0.012707698158919811,0.04437734931707382,0.02302015945315361,-0.04202991724014282,0.009600519202649593,-0.04118140786886215,-0.018372874706983566,0.0318867489695549,0.0048667145892977715,0.001143031520769,0.0204304251819849,0.0032657012343406677,0.022009380161762238,-0.027645690366625786,0.04892484098672867,-0.04968975484371185,-0.0028701794799417257,-0.03330088406801224,0.020603375509381294,-0.03535259887576103,0.021930554881691933,-0.009972854517400265,-0.05599021166563034,0.001106340205296874,-0.05527379363775253,0.08234625309705734,0.0034678135998547077,-0.0036837763618677855,0.04516776651144028,-0.006898802705109119,0.053508225828409195,0.050724491477012634,0.15439681708812714,-0.03188594430685043,0.007728008087724447,-0.016801873221993446,0.04086245223879814,0.05428628250956535,0.01806974969804287
10,0.05756380036473274,0.003972690086811781,-0.08301345258951187,0.025504590943455696,0.02935457043349743,-0.02090885303914547,-0.1081506758928299,0.017140990123152733,-0.02299819141626358,0.06881014257669449,-0.01851997710764408,0.04924261197447777,0.0355977825820446,-0.03339206799864769,-0.012121052481234074,0.029617659747600555,0.010358916595578194,-0.035229068249464035,-0.027561793103814125,0.03293079137802124,0.03613496199250221,0.028482602909207344,-0.013027394190430641,-0.0070726303383708,-0.07295358180999756,-0.0007868033717386425,0.019809365272521973,-0.025799857452511787,-0.021127469837665558,0.008888332173228264,0.026318751275539398,0.05003178119659424,0.08242788165807724,0.02124943397939205,0.07817846536636353,-0.02557298168540001,-0.007720788940787315,0.059587687253952026,0.06824513524770737,-0.039581965655088425,-0.01799767091870308,-0.032671213150024414,-0.002639874815940857,-0.013582790270447731,0.03629641979932785,-0.023094825446605682,0.10136111825704575,0.0625847578048706,-0.031634263694286346,-0.009820820763707161,0.018364988267421722,0.07689918577671051,0.05393817648291588,0.0012538013979792595,-0.004298395477235317,0.00013400403258856386,-0.046907320618629456,0.05272572860121727,0.021412542089819908,-0.02078402228653431,0.011417641304433346,0.027983739972114563,-0.02329939790070057,0.03081868588924408,0.023638257756829262,0.037986576557159424,0.05900854617357254,0.0438719242811203,0.02505560964345932,-0.062003523111343384,0.022826097905635834,0.000559933134354651,-0.04940761625766754,-0.03800281137228012,0.0036306984256953,0.038460277020931244,-0.06274779886007309,0.005699752829968929,0.055233895778656006,-0.036864202469587326,0.022844675928354263,0.058206260204315186,-0.0152388671413064,-0.00637483736500144,-0.07531718164682388,-0.044881671667099,0.0533318892121315,0.006014544051140547,-0.06592436879873276,0.02007017284631729,0.03982340171933174,0.024066226556897163,-0.033820461481809616,0.007437548134475946,-0.04197567328810692,-0.015015960671007633,0.03271947056055069,0.010373885743319988,0.007993869483470917,0.015045207925140858,0.007616967894136906,0.03141618147492409,-0.025546342134475708,0.0593155100941658,-0.05763816833496094,0.005321115255355835,-0.03762894868850708,0.018873021006584167,-0.03630784526467323,0.0225526150316,-0.013212226331233978,-0.05886290967464447,-0.011266869492828846,-0.052926670759916306,0.08496586978435516,-0.009251280687749386,-0.00827255379408598,0.03507945314049721,-0.006831400562077761,0.06011659651994705,0.05163101479411125,0.16646400094032288,-0.03409618139266968,0.014606134966015816,-0.009846345521509647,0.045203834772109985,0.0566866397857666,0.02662229724228382
100,0.0562371127307415,0.014899135567247868,-0.09155744314193726,0.014073372818529606,0.044453851878643036,-0.027591509744524956,-0.12987570464611053,0.007467376533895731,-0.028050027787685394,0.06774475425481796,-0.02431824803352356,0.05390522629022598,0.03453613445162773,-0.040702398866415024,-0.014918491244316101,0.02955138124525547,0.005261522717773914,-0.03543397784233093,-0.03957594558596611,0.049424245953559875,0.03984733670949936,0.03528763726353645,-0.01730896160006523,-0.012921782210469246,-0.0870756059885025,-0.007912899367511272,0.018045278266072273,-0.029347600415349007,-0.027371643111109734,0.005284956190735102,0.02870602160692215,0.06903401762247086,0.08733899891376495,0.02980343997478485,0.10219917446374893,-0.018463293090462685,-0.01419306080788374,0.07217340916395187,0.0786384865641594,-0.041901879012584686,-0.01977774128317833,-0.046966008841991425,0.0030111782252788544,-0.007271923590451479,0.0466880276799202,-0.024941623210906982,0.10904582589864731,0.08032780140638351,-0.034493185579776764,-0.017416011542081833,0.024769747629761696,0.07452519237995148,0.05739981681108475,-0.006604301277548075,-0.0019221212714910507,-0.010389008559286594,-0.0606389194726944,0.06528615206480026,0.014347703196108341,-0.030742954462766647,0.01385288592427969,0.030669232830405235,-0.023458875715732574,0.038766805082559586,0.028514094650745392,0.0503368154168129,0.0735199972987175,0.04939338564872742,0.031756170094013214,-0.0616007000207901,0.026082515716552734,0.003924319054931402,-0.04743184149265289,-0.04988465830683708,0.008226873353123665,0.041782770305871964,-0.07775162160396576,0.0019343720050528646,0.0662602037191391,-0.03436565026640892,0.02808499149978161,0.06552976369857788,-0.018507713451981544,-0.01889742538332939,-0.08127910643815994,-0.060373276472091675,0.06711779534816742,-0.003386564552783966,-0.07439778745174408,0.02662191167473793,0.05711669847369194,0.03375520184636116,-0.05047989636659622,-6.46000262349844e-05,-0.0497870147228241,-0.02611478790640831,0.04624323546886444,0.007874255999922752,0.012651248835027218,0.028202837333083153,0.008716198615729809,0.036517415195703506,-0.03454400599002838,0.0677952766418457,-0.05580334737896919,0.006265583913773298,-0.03114033117890358,0.014350572600960732,-0.03610074892640114,0.013624152168631554,-0.024944931268692017,-0.06680738180875778,0.0009258972713723779,-0.059160150587558746,0.10896512120962143,-0.0016695567173883319,-0.00830935500562191,0.041670333594083786,-0.0008584695169702172,0.06569014489650726,0.06107174605131149,0.192763552069664,-0.040432680398225784,0.014491293579339981,-0.016826385632157326,0.050804655998945236,0.05382835865020752,0.025428209453821182
101,0.05439047887921333,0.007096957415342331,-0.07795964181423187,0.01364126056432724,0.042401332408189774,-0.02854127623140812,-0.11505530774593353,0.015130487270653248,-0.020403195172548294,0.07064574211835861,-0.02461284026503563,0.06141968443989754,0.02794424630701542,-0.03945216163992882,-0.015000361017882824,0.027176495641469955,0.00910941231995821,-0.036690473556518555,-0.03437536954879761,0.04487263411283493,0.0402156263589859,0.040806762874126434,-0.018435273319482803,-0.007607354316860437,-0.0695239007472992,-0.010198058560490608,0.02250414714217186,-0.02886374667286873,-0.02200874499976635,0.016817884519696236,0.031569987535476685,0.056592702865600586,0.08366724848747253,0.02768552489578724,0.08866620808839798,-0.02665688842535019,-0.010524711571633816,0.0658584013581276,0.071952685713768,-0.03571219742298126,-0.015544295310974121,-0.03873807564377785,-0.004966182168573141,-0.002436654409393668,0.038788456469774246,-0.024802792817354202,0.10551899671554565,0.0636412501335144,-0.03159113973379135,-0.008826828561723232,0.012801903299987316,0.06955361366271973,0.04519418254494667,-0.007724483963102102,-0.007021610625088215,0.00042286477400921285,-0.05157623812556267,0.05217859148979187,0.020953087136149406,-0.028584344312548637,0.02131831832230091,0.03530072793364525,-0.029025664553046227,0.027084210887551308,0.018572425469756126,0.04573401063680649,0.06372509151697159,0.04086311161518097,0.02258310280740261,-0.05248093605041504,0.03055647574365139,-0.009448031894862652,-0.040095213800668716,-0.040460385382175446,0.011213556863367558,0.03766588494181633,-0.057962119579315186,0.0016438511665910482,0.06596463173627853,-0.030164843425154686,0.026663705706596375,0.054415103048086166,-0.02088828757405281,-0.0078100538812577724,-0.08099616318941116,-0.0482088178396225,0.05689125508069992,-0.004669975023716688,-0.0607202872633934,0.02337440848350525,0.05463995411992073,0.027732184156775475,-0.04486206918954849,0.010622902773320675,-0.044254120439291,-0.017511408776044846,0.0370483472943306,0.01606656238436699,0.005932795815169811,0.025781791657209396,0.0004228391626384109,0.03215307742357254,-0.03210084140300751,0.0634157657623291,-0.057852376252412796,-0.0040344675071537495,-0.03092295303940773,0.02166091650724411,-0.03876562789082527,0.015172320418059826,-0.02131721004843712,-0.05763310194015503,-0.00826302170753479,-0.0626063346862793,0.09572774171829224,0.0012584234355017543,-0.007486403454095125,0.0437178798019886,-0.000609263894148171,0.05688689649105072,0.058718241751194,0.1756753921508789,-0.03476972132921219,0.016982585191726685,-0.014749210327863693,0.05254748836159706,0.04986097663640976,0.022663377225399017
102,0.05752940475940704,0.007388655096292496,-0.0892569050192833,0.025017043575644493,0.04157264903187752,-0.02781878598034382,-0.11180752515792847,0.014209490269422531,-0.018459714949131012,0.06326799094676971,-0.027964936569333076,0.06076541543006897,0.03350706398487091,-0.04544873908162117,-0.006786061450839043,0.03471658378839493,0.016559747979044914,-0.032817572355270386,-0.03574107587337494,0.03711213916540146,0.03940997272729874,0.037115730345249176,-0.02228870615363121,-0.010887361131608486,-0.07715023308992386,-0.0005645275232382119,0.021222813054919243,-0.02225535176694393,-0.02274012379348278,0.014759596437215805,0.02066662535071373,0.059761933982372284,0.08749699592590332,0.029562022536993027,0.09626854956150055,-0.018959080800414085,-0.008722489699721336,0.056328319013118744,0.08062402158975601,-0.033559635281562805,-0.02111654356122017,-0.03497617319226265,0.00473188329488039,-0.010782450437545776,0.04542740061879158,-0.031358618289232254,0.10801390558481216,0.07401984930038452,-0.02451351471245289,-0.017234083265066147,0.025044262409210205,0.0779862254858017,0.046538230031728745,0.00018295781046617776,0.0029250222723931074,0.0017851515440270305,-0.045145776122808456,0.049495674669742584,0.012441186234354973,-0.024563482031226158,0.024526294320821762,0.0380263552069664,-0.02645481377840042,0.028266923502087593,0.013461346738040447,0.04724135249853134,0.06653542816638947,0.03790358453989029,0.024582287296652794,-0.06400399655103683,0.029592720791697502,-0.008283142000436783,-0.04736167937517166,-0.044828981161117554,0.001264834078028798,0.034246791154146194,-0.07202143222093582,0.005064340773969889,0.06958192586898804,-0.029308011755347252,0.02722669392824173,0.05886266008019447,-0.018732942640781403,-0.017589068040251732,-0.08886690437793732,-0.05006236582994461,0.061807919293642044,-0.0049653686583042145,-0.061020053923130035,0.022146007046103477,0.04885180667042732,0.0369635634124279,-0.04883188754320145,0.013006377965211868,-0.05410490185022354,-0.028392331674695015,0.03715803101658821,0.014786627143621445,0.012149162590503693,0.01704396866261959,0.002858990104869008,0.02050134353339672,-0.029870256781578064,0.06695650517940521,-0.06312281638383865,0.0022376494016498327,-0.03462950512766838,0.020866360515356064,-0.04199802502989769,0.010864777490496635,-0.012060067616403103,-0.05793269723653793,-0.007776747457683086,-0.061021216213703156,0.10092722624540329,0.0029972062911838293,-0.0033335729967802763,0.03705860301852226,0.007240403909236193,0.05796971917152405,0.06862013787031174,0.16942547261714935,-0.041006214916706085,0.021161429584026337,-0.008562356233596802,0.05759691074490547,0.053758714348077774,0.026939740404486656
103,0.05309564247727394,0.009373047389090061,-0.06244700774550438,0.015933779999613762,0.022786643356084824,-0.011848494410514832,-0.08843810111284256,0.010642030276358128,-0.0223925169557333,0.04668660834431648,-0.022399883717298508,0.04229301959276199,0.031736765056848526,-0.032806139439344406,-0.005406358279287815,0.02583184279501438,0.010064763016998768,-0.019426602870225906,-0.023026032373309135,0.02538108453154564,0.034226879477500916,0.02612847276031971,-0.015254506841301918,-0.018590323626995087,-0.058688122779130936,-0.005849033128470182,0.014104506000876427,-0.01904136687517166,-0.025556109845638275,0.00030495834653265774,0.014072548598051071,0.04358557611703873,0.07005506008863449,0.02467002533376217,0.07524220645427704,-0.021568479016423225,-0.010000309906899929,0.0409475602209568,0.06066461652517319,-0.02176654525101185,-0.01665707863867283,-0.035712506622076035,-0.005014762282371521,-0.0003407337062526494,0.030959997326135635,-0.020462922751903534,0.08670232445001602,0.05493267625570297,-0.025240300223231316,-0.013987498357892036,0.018609339371323586,0.0594182163476944,0.039935700595378876,-0.006471426226198673,-0.0029866222757846117,0.0028714709915220737,-0.04819497838616371,0.04083486646413803,0.01523821521550417,-0.022120468318462372,0.018251432105898857,0.02771877497434616,-0.020440397784113884,0.02008756250143051,0.019208084791898727,0.029612647369503975,0.05442344397306442,0.024718809872865677,0.027964280918240547,-0.040070973336696625,0.01610667258501053,-0.000468461774289608,-0.033842600882053375,-0.033520761877298355,-0.002764340490102768,0.024607857689261436,-0.055265091359615326,0.006455422844737768,0.05514902248978615,-0.029832061380147934,0.016100121662020683,0.04940182343125343,-0.008550773374736309,-0.008463782258331776,-0.058897409588098526,-0.04740888625383377,0.05254228040575981,-0.0036976379342377186,-0.05483958497643471,0.01653171144425869,0.04148479178547859,0.02726033516228199,-0.028698837384581566,-0.003235775511711836,-0.04530540853738785,-0.0166843943297863,0.03448918089270592,0.01093533169478178,0.0001337756257271394,0.020239274948835373,0.007051981985569,0.02607087418437004,-0.024355771020054817,0.05333923548460007,-0.040825072675943375,0.007008357904851437,-0.025316588580608368,0.015241103246808052,-0.023233670741319656,0.011665076948702335,-0.01739630103111267,-0.0415293425321579,-0.010733148083090782,-0.043143242597579956,0.0763678103685379,-0.002300058724358678,0.005207101348787546,0.03182673826813698,-0.00492164446040988,0.04993834346532822,0.054417114704847336,0.1418706476688385,-0.03083769418299198,0.010389024391770363,-0.009483405388891697,0.04603293538093567,0.049081239849328995,0.02038656733930111
104,0.053911492228507996,0.010346290655434132,-0.0718843936920166,0.016284361481666565,0.042282335460186005,-0.015555222518742085,-0.1139325499534607,0.01741948164999485,-0.017191613093018532,0.06194344162940979,-0.020652439445257187,0.05528976023197174,0.034294623881578445,-0.044568922370672226,-0.0019912132993340492,0.032722990959882736,0.017736991867423058,-0.03504470735788345,-0.02633778192102909,0.04609936103224754,0.04790566489100456,0.02875889278948307,-0.014561633579432964,-0.02095896191895008,-0.07797208428382874,-0.004538353998214006,0.010867687873542309,-0.02565820701420307,-0.028563249856233597,0.003050797851756215,0.029001904651522636,0.06351716816425323,0.08404813706874847,0.015444697812199593,0.09058184176683426,-0.029999909922480583,-0.010559754446148872,0.06481333822011948,0.06688405573368073,-0.03788477182388306,-0.01727932132780552,-0.02904132381081581,-0.005106343887746334,-0.009590266272425652,0.0341528095304966,-0.020018020644783974,0.10800584405660629,0.06844305992126465,-0.029050258919596672,-0.010620717890560627,0.025662649422883987,0.07555200904607773,0.04668362811207771,-0.0016985372640192509,-0.004184686113148928,-0.009213204495608807,-0.048504915088415146,0.05517848953604698,0.016702614724636078,-0.030294977128505707,0.020225565880537033,0.029488984495401382,-0.0189958568662405,0.03861284255981445,0.021418124437332153,0.042395465075969696,0.0541389174759388,0.043370719999074936,0.033275216817855835,-0.05091124027967453,0.022487154230475426,0.0025507118552923203,-0.03937167301774025,-0.03652752563357353,0.011995512060821056,0.03610105812549591,-0.0650097131729126,0.0015549985691905022,0.05497569963335991,-0.03860720992088318,0.023170053958892822,0.04853444546461105,-0.016638100147247314,-0.009608332999050617,-0.0754903182387352,-0.051325902342796326,0.0572240874171257,-0.00352646061219275,-0.05846633389592171,0.011821670457720757,0.05160489305853844,0.02886214852333069,-0.04506128653883934,0.009059833362698555,-0.047068238258361816,-0.01888095773756504,0.03464512899518013,0.006327095441520214,0.008094105869531631,0.026022640988230705,-0.004069944843649864,0.025286415591835976,-0.033323898911476135,0.06688155978918076,-0.05650646239519119,-0.004850393161177635,-0.03721746802330017,0.01900108903646469,-0.03208993375301361,0.022443149238824844,-0.015253696590662003,-0.06806910037994385,0.0017421366646885872,-0.04677700251340866,0.08910469710826874,-0.009493378922343254,-0.005203754175454378,0.04826361685991287,0.006431864574551582,0.05537346377968788,0.06215643137693405,0.17079555988311768,-0.029731333255767822,0.009360425174236298,-0.011053510941565037,0.04658600315451622,0.05952303111553192,0.02275414764881134
105,0.09928110986948013,0.023423273116350174,-0.12063656747341156,0.03751074895262718,0.05084570124745369,-0.032064639031887054,-0.17986245453357697,0.026571081951260567,-0.03366899490356445,0.10176602005958557,-0.028554489836096764,0.09064646810293198,0.06134127080440521,-0.06101037561893463,-0.008707694709300995,0.03668638691306114,0.023021362721920013,-0.04229234904050827,-0.04673737287521362,0.06677912920713425,0.0696336105465889,0.05849146842956543,-0.025679366663098335,-0.02938731200993061,-0.11683095246553421,-0.013440288603305817,0.030606966465711594,-0.02535593882203102,-0.03748570755124092,0.016384871676564217,0.04015372321009636,0.09588387608528137,0.11893342435359955,0.035289619117975235,0.14112703502178192,-0.039611585438251495,-0.00856002140790224,0.08855088800191879,0.11896033585071564,-0.04920820891857147,-0.026427606120705605,-0.049696825444698334,-0.005085188429802656,-0.0051855482161045074,0.05710403621196747,-0.045141302049160004,0.1694253832101822,0.10299932956695557,-0.03706074133515358,-0.024618925526738167,0.021136220544576645,0.11685653775930405,0.07438816130161285,-0.0013978069182485342,0.006467314902693033,-0.0008358288323506713,-0.07698234915733337,0.08194851875305176,0.023297345265746117,-0.043868113309144974,0.03056926839053631,0.05460132285952568,-0.03875499218702316,0.048817142844200134,0.03014242649078369,0.06979838013648987,0.1006130576133728,0.06200208514928818,0.04083872586488724,-0.09488170593976974,0.050841350108385086,-0.005295053590089083,-0.07973495870828629,-0.06779894977807999,0.002366876695305109,0.05875023826956749,-0.09702225774526596,0.00992094911634922,0.09950678050518036,-0.05005304887890816,0.04942021518945694,0.08498014509677887,-0.01674281433224678,-0.02184460684657097,-0.12720409035682678,-0.08594777435064316,0.0940750390291214,-0.0012116952566429973,-0.10557528585195541,0.02701282501220703,0.07326442003250122,0.050668444484472275,-0.07441330701112747,0.01059206947684288,-0.07933800667524338,-0.031453076750040054,0.0575685128569603,0.024650756269693375,0.013737215660512447,0.03178631514310837,-0.003752021584659815,0.03934905305504799,-0.048249252140522,0.0999879240989685,-0.0852358341217041,0.002653734525665641,-0.04783675819635391,0.025457050651311874,-0.05663266032934189,0.027623040601611137,-0.020560836419463158,-0.0880623459815979,-0.012482384219765663,-0.07825608551502228,0.1451868861913681,0.0015163865173235536,-0.003326272126287222,0.062368035316467285,-0.006819877307862043,0.08849804103374481,0.0970962792634964,0.2527487874031067,-0.056300025433301926,0.012751921080052853,-0.02789304591715336,0.08190993219614029,0.08822717517614365,0.040541838854551315
106,0.07650242745876312,0.01447352021932602,-0.091500423848629,0.027244195342063904,0.048744991421699524,-0.02574058063328266,-0.13313347101211548,0.021547215059399605,-0.022440465167164803,0.08467230200767517,-0.027560466900467873,0.06723510473966599,0.037505101412534714,-0.04393833130598068,-0.01602405309677124,0.03929445520043373,0.017273126170039177,-0.031016971915960312,-0.04398905485868454,0.045730870217084885,0.04209341108798981,0.048656150698661804,-0.01696786656975746,-0.0144736859947443,-0.0924798771739006,-0.008993009105324745,0.02579273283481598,-0.01874971203505993,-0.03534216433763504,0.008733599446713924,0.030654355883598328,0.06775195151567459,0.09550593793392181,0.028301578015089035,0.11266674101352692,-0.022670935839414597,-0.005409254692494869,0.07652846723794937,0.09256214648485184,-0.04514576494693756,-0.022260019555687904,-0.042507413774728775,-0.004292867612093687,-0.001818684977479279,0.04208997264504433,-0.03550243750214577,0.1314985305070877,0.08541662245988846,-0.04081115126609802,-0.018324321135878563,0.027911575511097908,0.09012565016746521,0.05534898117184639,-0.010412423871457577,-0.002218151930719614,-0.007986221462488174,-0.062085118144750595,0.05957810580730438,0.022054314613342285,-0.02370651811361313,0.027197139337658882,0.04299193248152733,-0.026181872934103012,0.034449681639671326,0.024855853989720345,0.05108843743801117,0.07462237775325775,0.04920819401741028,0.03817494586110115,-0.0683203786611557,0.03223329409956932,-0.010356055572628975,-0.05876942351460457,-0.043268490582704544,0.006493867840617895,0.03992138057947159,-0.06805133819580078,0.00772944325581193,0.07470215111970901,-0.04330992326140404,0.03545152768492699,0.07068963348865509,-0.013546941801905632,-0.022531596943736076,-0.0932701900601387,-0.06496110558509827,0.07710413634777069,0.0012450667563825846,-0.08206740766763687,0.015284168533980846,0.059837114065885544,0.03349962458014488,-0.048587191849946976,0.010186754167079926,-0.05908621847629547,-0.03355046734213829,0.04873496666550636,0.0131462961435318,0.004192780703306198,0.03257426619529724,0.005035245791077614,0.0399353951215744,-0.044674068689346313,0.06885717064142227,-0.06949242949485779,0.002621773164719343,-0.03506032004952431,0.025532040745019913,-0.03906898945569992,0.026113254949450493,-0.027247857302427292,-0.07390575855970383,-0.007023627404123545,-0.05930182710289955,0.11335034668445587,-0.00941440463066101,-0.0005749225383624434,0.04370831698179245,0.0027530754450708628,0.06915370374917984,0.08123864233493805,0.19911569356918335,-0.045238278806209564,0.015131560154259205,-0.012501944787800312,0.06616704165935516,0.06302207708358765,0.03554800897836685
